topic_id,topic_name,description,hit_count,example_titles
219,there's domestic violence,"This trigger encompasses a range of abusive behaviors within intimate relationships, including physical, emotional, sexual, and financial abuse. It can be triggering for survivors of domestic violence and those who have witnessed or experienced unhealthy relationships.
",34,"Fight Club, Hereditary, The Exorcist"
220,there's a mental institution scene,"Scenes set in a psychiatric facility.
",13,"Ringu, Talk to Me, The Exorcist"
221,there's a nuclear explosion,"Depictions of a powerful explosion caused by nuclear energy.
",10,"Crazy Rich Asians, Fight Club, Hereditary"
222,the ending is sad,"A conclusion that evokes feelings of sadness or loss.
",40,"Fight Club, Hereditary, The Exorcist"
223,heads get squashed,"Graphic depictions of heads being crushed or compressed.
",24,"Fight Club, Hereditary, The Exorcist"
224,someone is possessed,A person is controlled by a supernatural or evil entity.,13,"Fight Club, Hereditary, The Exorcist"
225,alcohol abuse,"This trigger involves depictions of excessive or harmful alcohol consumption, which can be triggering for individuals struggling with alcohol addiction or those affected by alcoholism.
",34,"Fight Club, Hereditary, The Exorcist"
226,someone is misgendered,"Using an incorrect gender pronoun or term to refer to a person.
",14,"Hereditary, Mean Girls, Superbad"
227,there are hangings,"Depictions of people suspended by a rope or other object around the neck.
",20,"Fight Club, Hereditary, Talk to Me"
228,there's childbirth,"Depictions of the process of giving birth.
",9,"Airplane, Mad Max: Fury Road, Talk to Me"
229,animals are abused,"This trigger is for viewers who are disturbed by scenes of animal cruelty or violence. This can include physical abuse, neglect, or forced fighting.
",33,"Fight Club, Hereditary, The Exorcist"
230,there's addiction,"This trigger refers to the broader concept of addiction, encompassing various behaviors beyond substance abuse. This includes process addictions such as gambling, sex addiction, workaholism, and other compulsive behaviors. It can be triggering for individuals struggling with any form of addiction or those supporting someone with an addiction.
",32,"Fight Club, Hereditary, The Exorcist"
231,there's dog fighting,"Dog fighting is a cruel and illegal activity that involves forcing dogs to fight each other. Even depictions of dog fighting can be very disturbing.
",13,"Fight Club, Hereditary, The Exorcist"
232,there's gun violence,"Depictions of violence involving firearms.
",29,"Fight Club, The Exorcist, Train to Busan"
233,there's fat jokes,"Jokes that mock or ridicule people based on their weight.
",21,"Fight Club, Ringu, Talk to Me"
234,the black guy dies first,"A trope in which Black characters are disproportionately likely to die in media.
",15,"Get Out, Hereditary, The Exorcist"
235,someone has an anxiety attack,A person experiences a sudden surge of intense fear or discomfort.,39,"Fight Club, Hereditary, The Exorcist"
236,there are incestuous relationships,"Sexual relationships between close family members.
",15,"Hereditary, The Babadook, The Exorcist"
237,someone gets gaslighted,"Gaslighting is a form of psychological manipulation where a person is made to question their own sanity or perception of reality. This trigger can be distressing for survivors of emotional abuse and those who are particularly vulnerable to manipulation.
",36,"Fight Club, Hereditary, The Exorcist"
238,someone has an abortion,"The termination of a pregnancy.
",5,"Airplane, Hereditary, The Godfather"
239,a pregnant person dies,"The death of a pregnant individual.
",8,"Hereditary, Talk to Me, The Godfather"
240,someone is buried alive,"Depictions of a person being buried while still alive.
",18,"Fight Club, Hereditary, Train to Busan"
241,someone cheats,"A romantic partner engages in infidelity, causing betrayal, heartbreak, and relationship breakdown.",23,"Airplane, Fight Club, Talk to Me"
242,someone is stalked,"Stalking is a pattern of unwanted and intrusive behavior that can cause fear and anxiety. This trigger can be distressing for survivors of stalking and those who have experienced harassment or threats.
",32,"Fight Club, Hereditary, Talk to Me"
243,someone is kidnapped,"A family member is taken away against their will, leading to fear, anxiety, and trauma.
",28,"Fight Club, Hereditary, Talk to Me"
244,there's ableist language or behavior,"Language or actions that discriminate against or stigmatize people with disabilities.
",34,"Fight Club, Hereditary, The Exorcist"
245,someone struggles to breathe,"Choking, suffocation, strangling, hyperventilating, and other depictions of difficulty in breathing.
",38,"Fight Club, Hereditary, The Exorcist"
246,there's antisemitism,"Prejudice or discrimination against Jewish people.
",14,"Airplane, Blazing Saddles, The Exorcist"
247,there are homophobic slurs,"The use of derogatory terms against LGBTQ+ individuals.
",17,"Fight Club, Hereditary, The Exorcist"
248,Autism specific abuse,Abuse targeting individuals with autism spectrum disorder.,11,"Airplane, Hereditary, The Babadook"
250,there's amputation,"Depictions of limbs being removed.
",19,"Fight Club, Hereditary, Talk to Me"
251,someone says the n-word,"The use of a racial slur against Black people.
",15,"Blazing Saddles, Get Out, Hereditary"
252,there's a dead animal,"This trigger is for viewers who are generally disturbed by the sight of dead animals on screen.
",35,"Fight Club, Hereditary, Talk to Me"
253,A child's dear toy is destroyed,"The loss of a beloved toy, symbolizing emotional security and comfort.",16,"Hereditary, Talk to Me, Train to Busan"
254,there's cannibalism,"Depictions of humans consuming human flesh.
",17,"Hereditary, Talk to Me, Train to Busan"
255,There's audio gore,"Sound effects that depict violence, injury, or bodily fluids.
",31,"Fight Club, Hereditary, The Exorcist"
256,there is copaganda,"Propaganda that portrays law enforcement in a positive light, often ignoring or downplaying issues of police misconduct.
",19,"Blazing Saddles, Fight Club, Get Out"
257,someone wets/soils themselves,"Depictions of a person urinating or defecating on themselves or in their pants.
",14,"Fight Club, The Babadook, The Exorcist"
258,there's genital trauma/mutilation,"Graphic depictions of injuries to genitalia.
",16,"Fight Club, Talk to Me, The Exorcist"
259,"someone says ""I'll kill myself""","Expressions of suicidal ideation.
",17,"Fight Club, Hereditary, Talk to Me"
260,there's misophonia,"Scenes that trigger misophonia, such as repetitive sounds, eating noises, or other sounds that can be intensely irritating.
",28,"Fight Club, Hereditary, Talk to Me"
261,a baby cries,"Depictions of a crying infant, which can be irritating or distressing for some viewers.
",24,"Talk to Me, The Exorcist, Train to Busan"
262,"there are ""Man in a dress"" jokes","Jokes that mock transgender women or men who do not conform to traditional gender roles.
",12,"Airplane, Blazing Saddles, Fight Club"
263,a mentally ill person is violent,Portraying individuals with mental illnesses as inherently dangerous or violent.,31,"Fight Club, Hereditary, The Exorcist"
264,a baby is stillborn,"The birth of a dead baby.
",4,"John Wick, Mad Max: Fury Road, Talk to Me"
265,someone suffers from PTSD,"Depictions of individuals experiencing post-traumatic stress disorder.
",27,"Hereditary, Talk to Me, The Exorcist"
266,there is a baby or unborn child,"Depictions of a baby or unborn child.
",27,"Hereditary, Talk to Me, Train to Busan"
267,there's excessive gore,"Overwhelming amounts of blood, violence, and bodily fluids.
",28,"Fight Club, Hereditary, The Exorcist"
268,the fourth wall is broken,"The character directly addresses the audience, blurring the lines between reality and fiction, which can be unsettling.
",13,"Fight Club, Hereditary, Talk to Me"
269,a car honks or tires screech,"Loud noises made by vehicles, which can be startling or irritating.
",32,"Fight Club, Hereditary, Talk to Me"
270,someone is homeless,"Depictions of individuals without a permanent home.
",18,"Fight Club, Talk to Me, The Exorcist"
271,someone falls down stairs,"Depictions of a person falling down a flight of stairs.
",19,"Fight Club, The Exorcist, Train to Busan"
272,the r-slur is used,"The use of a derogatory term against people with intellectual disabilities.
",14,"Blazing Saddles, Get Out, Hereditary"
273,a male character is ridiculed for crying,"Depictions of a male character being mocked or shamed for expressing emotions.
",9,"Fight Club, Hereditary, Talk to Me"
274,someone is restrained,"A character is physically prevented from moving freely through the intentional use of force or physical barriers.
",37,"Fight Club, Hereditary, The Exorcist"
275,someone overdoses,"A person dies or becomes seriously ill due to taking an excessive amount of a substance.
",10,"Airplane, Fight Club, Talk to Me"
276,someone is sexually objectified,"A person is treated as a sexual object rather than a human being.
",25,"Fight Club, Hereditary, The Exorcist"
277,there's a large age gap,"A significant difference in age between romantic partners.
",17,"Hereditary, Ringu, The Babadook"
278,someone has a stroke,"Depictions of individuals experiencing a stroke, a sudden loss of brain function.
",7,"Hereditary, Ringu, The Godfather"
279,there are nude scenes,"Depictions of naked bodies.
",27,"Fight Club, Hereditary, The Exorcist"
280,there's Achilles Tendon injury,"Depictions of injuries to the Achilles tendon.
",8,"Hereditary, John Wick, The Notebook"
281,someone asphyxiates,"A person is deprived of oxygen, leading to unconsciousness or death.
",25,"Hereditary, Talk to Me, Train to Busan"
282,someone is crushed to death,"Depictions of a person being compressed to death by extreme force.
",18,"Get Out, Hereditary, Train to Busan"
283,there are 9/11 depictions,"Depictions of the September 11th terrorist attacks.
",8,"Fight Club, Get Out, Talk to Me"
284,an infant is abducted,"Depictions of a baby or infant being taken away without permission.
",8,"Hereditary, The Babadook, The Notebook"
285,a pet dies,"This trigger is a broader category encompassing the death of any animal companion, including dogs, cats, rabbits, hamsters, etc.
",18,"Fight Club, Hereditary, The Exorcist"
286,Someone attempts suicide,Depictions of a person attempting to take their own life.,22,"Fight Club, Hereditary, The Exorcist"
287,a minor is sexualized,"Depictions of children in a sexual manner, including suggestive poses, clothing, or language.
",19,"Fight Club, Hereditary, The Exorcist"
288,someone has a chronic illness,"Depictions of individuals living with long-term health conditions.
",14,"Fight Club, Hereditary, The Exorcist"
289,someone sacrifices themselves,"A character intentionally dies to save others.
",27,"Fight Club, Hereditary, The Exorcist"
290,there is obscene language/gestures,"Offensive or vulgar language or gestures that can be disturbing or offensive.
",39,"Fight Club, Hereditary, The Exorcist"
291,someone has dementia/Alzheimer's,"Depictions of individuals with progressive cognitive decline.
",11,"Hereditary, The Babadook, The Exorcist"
292,someone is sexually assaulted onscreen,A character is raped on screen,13,"Hereditary, Talk to Me, The Exorcist"
293,a child is abandoned by a parent or guardian,"This trigger is for individuals who have experienced or fear abandonment, particularly in childhood. It can evoke strong emotional responses related to loss, fear, and insecurity.
",30,"Fight Club, Hereditary, The Exorcist"
294,a minority is misrepresented,"Depictions of minority groups in a stereotypical or harmful way.
",23,"Fight Club, Get Out, Hereditary"
295,there are mannequins,"Depictions of life-sized human models, often associated with uncanny valley and unease.",8,"Hereditary, Talk to Me, Train to Busan"
296,there's body horror,"Does some sort of experimentation, mutations, or other event happen that warps the body. Graphic and disturbing depictions of physical bodies.
",27,"Fight Club, Hereditary, The Exorcist"
297,there are razors,"Depictions of sharp blades, often associated with danger and self-harm.",18,"Fight Club, Get Out, The Babadook"
298,Someone becomes unconscious,"A person loses consciousness due to injury, illness, or other causes.
",39,"Fight Club, Hereditary, The Exorcist"
299,someone is drugged,"A character is unknowingly given a substance that alters their mental or physical state without their consent.
",22,"Fight Club, Hereditary, The Exorcist"
300,there's fat suits,"The use of costumes to make actors appear overweight.
",5,"Fight Club, Mad Max: Fury Road, Mean Girls"
301,there's bisexual cheating,Depictions of infidelity involving a bisexual person.,3,"Fight Club, John Wick, Schindler's List"
302,D.I.D. Misrepresentation,Inaccurate or stereotypical depictions of dissociative identity disorder.,6,"Fight Club, Hereditary, The Exorcist"
303,there's aphobia,"Prejudice or discrimination against asexual people.
",5,"Airplane, Hereditary, La La Land"
304,the abused becomes the abuser,"This trigger depicts a cycle of violence where a victim of abuse becomes the perpetrator. It can be triggering for survivors of abuse who struggle with feelings of guilt or shame, or those who fear repeating the cycle.
",19,"Fight Club, Hereditary, Talk to Me"
305,a non-human character dies,"The death of an animal or fictional creature.
",27,"Hereditary, Talk to Me, The Exorcist"
306,there's body dysphoria,"Depictions of a mismatch between a person's physical sex and their gender identity, otr otherwise feeling dissatisfied with their own bodies.",9,"Fight Club, Get Out, Hereditary"
307,there's bestiality,"Depictions of sexual acts involving animals.
",8,"Blazing Saddles, Talk to Me, Train to Busan"
308,someone is held under water,"A character's head is forcibly submerged in water, preventing them from breathing.
",20,"Hereditary, The Babadook, Train to Busan"
309,somebody is choked,"A person is strangled or suffocated by having their throat constricted.
",29,"Fight Club, Hereditary, The Exorcist"
310,there's deadnaming or birthnaming,Using a person's deadname or birth name after they have transitioned.,4,"Hereditary, The Babadook, Zodiac"
311,someone dies,"A general term for the death of a person.
",42,"Fight Club, Hereditary, The Exorcist"
312,trypophobic content is shown,"Depictions of clusters of small holes or bumps, which can trigger a fear response in some people.",5,"Coco, Hereditary, Talk to Me"
313,a family member dies,"The death of a relative, causing grief, loss, and family disruption.",33,"Hereditary, Talk to Me, The Exorcist"
314,there are transphobic slurs,The use of derogatory terms against transgender people.,6,"Blazing Saddles, Superbad, The Babadook"
315,sexual assault on men is a joke,"Sexual assault on a male might be played of as funny or less serious than if the victim were a woman.
",14,"Fight Club, Talk to Me, The Babadook"
316,there's anti-abortion themes,"Depictions or discussions that oppose abortion.
",4,"Hereditary, John Wick, The Notebook"
317,someone loses their virginity,"A person engages in sexual intercourse for the first time.
",11,"Superbad, Talk to Me, The Exorcist"
318,someone is watched without knowing,"Depictions of a character being observed without their awareness, creating a sense of unease and paranoia.
",35,"Fight Club, Hereditary, Talk to Me"
319,animals were harmed in the making,"This trigger is for viewers who are concerned about the ethical treatment of animals in filmmaking. Some older films or films with unrealistic stunts may have used methods that harmed animals.
",19,"Fight Club, Hereditary, The Exorcist"
320,there's pedophilia,"Pedophillia is shown or mentioned.
",19,"Fight Club, Hereditary, The Exorcist"
321,someone is beaten up by a bully,"A character is physically attacked and injured by another person who is aggressive and intimidating.
",19,"Fight Club, Talk to Me, The Babadook"
322,someone is eaten,Depictions of a person being consumed by another creature or entity.,8,"Hereditary, Talk to Me, Train to Busan"
323,there's ABA therapy,"Depictions of applied behavior analysis therapy, which can be controversial and potentially harmful.
",5,"Superbad, The Babadook, The Notebook"
324,there's farting,"Depictions of flatulence.
",15,"Fight Club, Hereditary, The Exorcist"
325,there's blackface,"The wearing of makeup or costumes to imitate or mock Black people.
",5,"Blazing Saddles, Crazy Rich Asians, Schindler's List"
326,rape is mentioned,"Sexual assault of any kind is mentioned, whether it might be recounting an event or a tasteless joke.
",25,"Fight Club, Hereditary, The Exorcist"
327,someone is terminally ill,"Depictions of individuals with a life-threatening illness.
",18,"Fight Club, Hereditary, The Exorcist"
328,a major character dies,"The death of a primary or beloved character.
",36,"Fight Club, Hereditary, The Exorcist"
329,a priceless artifact is destroyed,The destruction of a valuable or irreplaceable object.,11,"Airplane, Hereditary, Mean Girls"
330,there's abusive parents,"This trigger encompasses a broad range of parental abuse, including physical, emotional, and psychological harm. It can be deeply traumatic for survivors of child abuse and those who have witnessed or experienced parental dysfunction.
",27,"Hereditary, Ringu, Talk to Me"
331,there's decapitation,"Depictions of a severed head.
",16,"Hereditary, Talk to Me, Train to Busan"
332,there's an alligator/crocodile,"This trigger is for people with a fear of large reptiles, such as herpetophobia, a general fear of reptiles or amphibians.
",7,"Hereditary, Talk to Me, The Babadook"
334,reality is unstable or unhinged,Depictions of a character experiencing a distorted or fragmented sense of reality.,22,"Fight Club, Hereditary, The Exorcist"
335,there's natural bodies of water,"Depictions of large, deep bodies of water, often associated with the unknown and danger.",33,"Talk to Me, The Exorcist, Train to Busan"
336,someone has a mental illness,"Depictions of individuals struggling with mental health conditions.
",33,"Fight Club, Hereditary, The Exorcist"
337,there are sharks,"This trigger is for people with a fear of sharks. Even scenes that don't show shark attacks can be triggering for some viewers.
",3,"Die Hard, Schindler's List, Toy Story"
338,rabbits are harmed,"This trigger is for viewers who are specifically upset by the death or mistreatment of rabbits. Rabbits are popular pets and can be seen as vulnerable creatures.
",7,"Hereditary, Talk to Me, The Babadook"
339,there are sudden loud noises,"Unexpected loud sounds that can startle or frighten viewers.
",36,"Fight Club, Hereditary, The Exorcist"
341,existentialism is debated,"Philosophical discussions or exploration of the meaning of life and existence.
",21,"Fight Club, Get Out, The Exorcist"
342,a woman gets slapped,"A female character is struck forcefully on the face by an open hand. 
",15,"Hereditary, Talk to Me, The Exorcist"
343,someone is stabbed,"Depictions of a person being wounded by a sharp object.
",24,"Hereditary, Talk to Me, The Exorcist"
345,there's incarceration,Depictions of imprisonment or confinement.,21,"Blazing Saddles, Fight Club, Get Out"
346,there's end credits scenes?,"Additional content shown after the main credits.
",10,"Airplane, Hereditary, The Exorcist"
347,the abused forgives their abuser,"Seeing abusers be forgiven or absolved of their actions can be very painful for abuse victims, particularly when the forgiveness is portrayed as something the victim ""owes"" to the abuser or the victim is portrayed as being bitter/ungrateful for things the abuser did for them/selfish/otherwise bad or in the wrong until they forgive the abuser.",18,"Hereditary, Talk to Me, The Exorcist"
348,someone has a meltdown,"A person experiences a sudden and overwhelming emotional outburst.
",37,"Fight Club, Hereditary, The Exorcist"
349,autism is misrepresented,"Inaccurate or stereotypical depictions of autism spectrum disorder.
",8,"Hereditary, Superbad, The Babadook"
350,an animal is abandoned,"This trigger is for people who have a strong emotional connection to animals and are affected by depictions of animal neglect or abandonment. It can be distressing for those who have experienced the loss of a pet or have concerns about animal welfare. 

",16,"Get Out, Talk to Me, Train to Busan"
351,religion is discussed,"Depictions or discussions of religious beliefs or practices.
",30,"Fight Club, Hereditary, The Exorcist"
352,hands are damaged,"Depictions of injuries or harm inflicted on hands.
",30,"Fight Club, Hereditary, The Exorcist"
353,someone disabled played by able-bodied,"An able-bodied actor portraying a character with a disability.
",21,"Fight Club, Talk to Me, Train to Busan"
354,someone poops on-screen,"Depictions of a person defecating on-screen.
",7,"Fight Club, Mean Girls, The Exorcist"
355,an animal is sad,"This trigger is for viewers who are affected by scenes depicting animal sadness or distress. This could include animals separated from their young, injured animals, or animals in captivity.
",26,"Hereditary, Talk to Me, The Babadook"
356,there's underwater scenes,"Scenes set underwater, which can be disorienting or claustrophobic for some viewers.
",15,"Get Out, Ringu, The Babadook"
357,there's bedbugs,"Depictions of bedbugs or evidence of a bedbug infestation.
",8,"Superbad, The Babadook, The Godfather"
358,there's menstruation,"Depictions of a woman's menstrual cycle.
",5,"Airplane, Mean Girls, Superbad"
359,a trans person is depicted predatorily,Portraying a transgender person as inherently dangerous or predatory.,3,"Schindler's List, The Babadook, The Notebook"
360,someone's mouth is covered,"A character's mouth is blocked or covered, preventing them from speaking or breathing.
",32,"Fight Club, Hereditary, The Exorcist"
361,someone's throat is mutilated,"Graphic depictions of injuries to the throat or neck.
",22,"Fight Club, Hereditary, The Exorcist"
362,someone dislocates something,"Depictions of joints being forced out of their normal position.
",17,"Fight Club, Hereditary, The Exorcist"
363,someone leaves without saying goodbye,"This trigger is for individuals who have experienced sudden departures or unexpected endings in relationships. It can evoke feelings of rejection, betrayal, and uncertainty.
",35,"Fight Club, Hereditary, Talk to Me"
364,there's BDSM,"Depictions of bondage, discipline, dominance, submission, and masochism.
",5,"Talk to Me, The Babadook, The Exorcist"
365,someone is abused with a belt,"This trigger specifically refers to physical abuse involving a belt, which can be a particularly visceral form of violence. It can be triggering for survivors of physical abuse and those who have fears of bodily harm.
",10,"Hereditary, Talk to Me, The Babadook"
366,there's screaming,"Depictions of people screaming, which can be distressing or alarming.
",46,"Fight Club, Hereditary, The Exorcist"
367,a woman is brutalized for spectacle,"Many women are victims of physical violence and abuse. Women in media are often made into narrative props that get used as targets for violence, for shock value. This may overlap with some cases of other categories, but encompasses the broader range of situations where women are made into hapless victims of brutal treatment, for shock. Being able to know, beforehand, whether a piece of media includes this trope would be greatly beneficial to many women.",16,"Blazing Saddles, Talk to Me, The Exorcist"
368,an LGBT+ person is outed,A person's sexual orientation or gender identity is revealed without their consent.,3,"Mean Girls, Moonlight, Schindler's List"
369,there's demons or Hell,"Depictions of supernatural beings or a place of punishment in the afterlife.
",12,"Hereditary, Talk to Me, The Exorcist"
370,"there's dissociation, depersonalization, or derealization","Depictions of a person feeling detached from their own thoughts, feelings, or surroundings.",23,"Fight Club, Hereditary, Talk to Me"
371,there's audience participation,,1,Fight Club
372,there's smoke or haze,,16,"Fight Club, Hereditary, Talk to Me"
375,someone has a heart attack,,3,"The Exorcist, The Godfather, The Thing"
